Shifra,Datum,Cena na posledna transakcija,Mak.,Min.,Prosecna cena,%prom,Kolicina,Promet vo BEST vo denari,Vkupen promet
ADIN,12/22/2014,"357,00","357,00","357,00","357,00","-12,93",100,35.7,35.7
ADIN,12/5/2014,"410,00","410,00","410,00","410,00","0,24",683,280.03,280.03
ADIN,12/4/2014,"409,00","409,00","409,00","409,00","-9,11",100,40.9,40.9
ADIN,12/2/2014,"450,00","450,00","450,00","450,00","47,54",180,81,81
ADIN,11/13/2014,"305,00","305,00","305,00","305,00","22,00",581,177.205,177.205
ADIN,9/10/2014,"250,00","250,00","250,00","250,00","2,88",100,25,25
ADIN,8/13/2014,"243,00","243,00","243,00","243,00","-2,80",500,121.5,121.5
ADIN,5/23/2014,"250,00","250,00","250,00","250,00","0,00",471,117.75,117.75
ADIN,3/14/2014,"250,00","250,00","250,00","250,00","-0,40",1,250,250
ADIN,2/14/2014,"251,00","251,00","251,00","251,00","0,00",10,2.51,2.51
ADIN,1/31/2014,"251,00","251,00","251,00","251,00","0,40",200,50.2,50.2
ADIN,12/24/2015,"345,00","345,00","345,00","345,00","0,00",10,3.45,3.45
ADIN,11/25/2015,"345,00","345,00","345,00","345,00","18,97",60,20.7,20.7
ADIN,11/19/2015,"290,00","290,00","290,00","290,00","0,00",54,15.66,15.66
ADIN,11/10/2015,"290,00","290,00","290,00","290,00","0,00",200,58,58
ADIN,11/5/2015,"290,00","290,00","290,00","290,00","7,41",100,29,29
ADIN,11/4/2015,"270,00","270,00","270,00","270,00","-9,70",1.167,315.09,315.09
ADIN,10/30/2015,"299,00","299,00","299,00","299,00","0,00",50,14.95,14.95
ADIN,10/28/2015,"299,00","299,00","299,00","299,00","-0,33",330,98.67,98.67
ADIN,10/22/2015,"300,00","300,00","300,00","300,00","0,00",446,133.8,133.8
ADIN,10/5/2015,"300,00","300,00","300,00","300,00","13,21",100,30,30
ADIN,8/18/2015,"265,00","265,00","265,00","265,00","6,00",1.467,388.755,388.755
ADIN,6/25/2015,"250,00","250,00","250,00","250,00","-19,35",576,144,144
ADIN,4/14/2015,"310,00","310,00","310,00","310,00","-17,33",100,31,31
ADIN,3/25/2015,"375,00","375,00","375,00","375,00","2,18",5,1.875,1.875
ADIN,2/13/2015,"367,00","367,00","367,00","367,00","0,00",50,18.35,18.35
ADIN,2/3/2015,"367,00","367,00","367,00","367,00","0,00",396,145.332,145.332
ADIN,2/2/2015,"367,00","367,00","367,00","367,00","0,00",575,211.025,211.025
ADIN,1/26/2015,"367,00","367,00","367,00","367,00","2,80",25,9.175,9.175
ADIN,12/29/2016,"665,00","665,00","665,00","665,00","9,92",50,33.25,33.25
ADIN,12/26/2016,"605,00","605,00","605,00","605,00","0,00",1.599,967.395,967.395
ADIN,12/21/2016,"605,00","605,00","605,00","605,00","10,00",8.428,5.098.940,5.098.940
ADIN,12/15/2016,"550,00","550,00","550,00","550,00","0,00",672,369.6,369.6
ADIN,12/14/2016,"550,00","550,00","550,00","550,00","-8,33",40,22,7.986.550
ADIN,11/18/2016,"600,00","600,00","600,00","600,00","9,09",100,60,60
ADIN,11/15/2016,"550,00","550,00","550,00","550,00","0,00",90,49.5,49.5
ADIN,11/14/2016,"550,00","550,00","550,00","550,00","10,00",100,55,55
ADIN,11/9/2016,"500,00","500,00","500,00","500,00","0,00",200,100,100
ADIN,11/2/2016,"500,00","500,00","500,00","500,00","1,01",200,100,100
ADIN,11/1/2016,"495,00","495,00","495,00","495,00","2,91",199,98.505,98.505
ADIN,10/31/2016,"481,00","481,00","481,00","481,00","3,22",160,76.96,76.96
ADIN,10/26/2016,"466,00","466,00","466,00","466,00","2,87",5,2.33,2.33
ADIN,10/21/2016,"453,00","453,00","453,00","453,00","9,95",1.5,679.5,679.5
ADIN,10/19/2016,"412,00","412,00","412,00","412,00","3,00",356,146.672,146.672
ADIN,10/6/2016,"400,00","400,00","400,00","400,00","3,90",196,78.4,78.4
ADIN,10/5/2016,"385,00","385,00","385,00","385,00","0,00",1.258,484.33,484.33
ADIN,9/6/2016,"385,00","385,00","385,00","385,00","0,00",25,9.625,9.625
ADIN,9/1/2016,"385,00","385,00","385,00","385,00","10,00",20,7.7,7.7
ADIN,8/25/2016,"350,00","350,00","350,00","350,00","9,38",35,12.25,12.25
ADIN,8/23/2016,"320,00","320,00","320,00","320,00","-2,88",20,6.4,6.4
ADIN,8/15/2016,"330,00","330,00","329,00","329,49","0,15",226,74.464,74.464
ADIN,8/10/2016,"329,00","329,00","329,00","329,00","6,13",100,32.9,32.9
ADIN,8/8/2016,"310,00","310,00","310,00","310,00","1,04",80,24.8,24.8
ADIN,8/5/2016,"310,00","310,00","306,00","306,80","3,03",500,153.4,153.4
ADIN,6/23/2016,"300,00","300,00","280,00","297,78","-0,74",180,53.6,53.6
ADIN,6/3/2016,"300,00","300,00","300,00","300,00","0,00",100,30,30
ADIN,6/1/2016,"300,00","300,00","300,00","300,00","-0,33",350,105,105
ADIN,5/31/2016,"301,00","301,00","301,00","301,00","0,33",110,33.11,33.11
ADIN,5/23/2016,"300,00","300,00","300,00","300,00","0,33",1.157,347.1,347.1
ADIN,5/18/2016,"299,00","299,00","299,00","299,00","-0,33",200,59.8,59.8
